subject_id,tumor_voxel_count,tumor_fraction,num_positive_slices,total_slices,volume_shape,spacing
BraTS-GLI-00022-001,96170,0.010771729390681004,89,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00024-000,101451,0.011363239247311828,65,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00024-001,75168,0.008419354838709677,54,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00025-000,30557,0.003422603046594982,53,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00026-000,71556,0.008014784946236558,58,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00028-000,21245,0.00237959229390681,53,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00030-000,117996,0.013216397849462366,77,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00031-000,212996,0.023857078853046595,86,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00031-001,222780,0.02495295698924731,81,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00032-000,88373,0.009898409498207885,64,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00032-001,122552,0.013726702508960574,75,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00033-000,163810,0.018347894265232974,67,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00035-000,38022,0.004258736559139785,49,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00036-000,157005,0.017585685483870968,79,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00036-001,176771,0.01979961917562724,78,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00043-000,98719,0.011057235663082437,57,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00044-000,16636,0.0018633512544802867,38,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00045-000,34190,0.0038295250896057346,48,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00045-001,22643,0.0025361783154121864,51,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00046-000,33792,0.00378494623655914,44,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00048-000,84681,0.009484879032258064,67,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00048-001,18958,0.0021234318996415772,37,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00049-000,119424,0.013376344086021506,65,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00051-000,108726,0.012178091397849462,72,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00052-000,164216,0.01839336917562724,74,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00053-000,131650,0.014745743727598567,82,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00053-001,138820,0.01554883512544803,87,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00054-000,100486,0.011255152329749104,63,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00056-000,104443,0.011698364695340501,60,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00056-001,103998,0.011648521505376343,60,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00058-000,27410,0.003070116487455197,36,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00058-001,51158,0.0057300627240143365,56,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00059-000,119934,0.013433467741935485,80,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00059-001,45184,0.005060931899641577,67,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00060-000,240373,0.026923499103942653,81,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00061-000,19464,0.0021801075268817202,42,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00061-001,41800,0.004681899641577061,52,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00062-000,124308,0.013923387096774193,78,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00063-000,24738,0.0027708333333333335,46,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00064-000,101426,0.011360439068100359,57,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00066-000,38714,0.004336245519713262,59,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00068-000,110080,0.012329749103942652,79,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00070-000,156721,0.017553875448028673,69,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00071-000,92002,0.010304883512544803,69,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00072-000,74301,0.008322244623655915,47,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00072-001,26964,0.0030201612903225806,36,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00074-000,181624,0.020343189964157706,71,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00077-000,197218,0.022089829749103944,81,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00078-000,68098,0.0076274641577060934,66,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00081-000,79806,0.008938844086021506,53,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00084-000,67070,0.007512320788530466,56,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00084-001,51787,0.00580051523297491,51,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00085-000,77413,0.008670810931899642,72,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00087-000,117717,0.013185147849462366,82,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00087-001,87543,0.009805443548387097,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00088-000,125245,0.014028337813620072,71,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00088-001,126723,0.01419388440860215,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00089-000,35086,0.003929883512544803,46,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00090-000,97635,0.010935819892473119,69,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00090-001,116253,0.01302116935483871,70,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00094-000,162400,0.018189964157706094,78,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00095-000,236428,0.02648163082437276,78,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00095-001,242338,0.027143593189964156,76,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00096-000,119315,0.013364135304659498,67,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00096-001,97764,0.010950268817204302,63,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00097-000,41919,0.004695228494623656,46,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00097-001,23668,0.0026509856630824373,41,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00098-000,66169,0.007411402329749104,47,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00098-001,157410,0.017631048387096775,64,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00099-000,83944,0.009402329749103943,84,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00099-001,97770,0.010950940860215053,83,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00100-000,95391,0.010684475806451613,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00101-000,58948,0.006602598566308244,58,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00102-000,12952,0.001450716845878136,32,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00103-000,225535,0.025261536738351253,79,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00104-000,74986,0.00839896953405018,53,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00105-000,166140,0.018608870967741935,86,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00106-000,227126,0.025439740143369177,77,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00107-000,82921,0.00928774641577061,56,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00108-000,73791,0.008265120967741936,61,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00109-000,134271,0.015039314516129032,75,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00110-000,90740,0.010163530465949821,66,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00111-000,168746,0.01890076164874552,74,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00112-000,91751,0.01027676971326165,65,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00113-000,38314,0.004291442652329749,48,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00115-000,84845,0.009503248207885305,69,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00116-000,169918,0.01903203405017921,94,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00117-000,75085,0.008410058243727599,72,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00118-000,147090,0.01647513440860215,80,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00120-000,91560,0.010255376344086022,64,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00121-000,66816,0.007483870967741935,85,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00122-000,43881,0.004914986559139785,51,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00123-000,222999,0.024977486559139783,92,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00124-000,176056,0.019719534050179212,70,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00126-000,154557,0.017311491935483873,81,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00127-000,118171,0.013235999103942653,60,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00128-000,132171,0.014804099462365591,70,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00130-000,149604,0.016756720430107525,81,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00131-000,103496,0.011592293906810035,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00132-000,129841,0.014543122759856631,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00133-000,80218,0.008984991039426524,74,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00134-000,157749,0.017669018817204302,76,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00136-000,57168,0.006403225806451613,58,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00137-000,186261,0.020862567204301075,72,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00138-000,154118,0.017262320788530464,79,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00139-000,80769,0.009046706989247312,60,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00140-000,16748,0.0018758960573476702,50,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00142-000,88649,0.00992932347670251,89,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00143-000,162623,0.0182149417562724,89,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00144-000,64347,0.007207325268817204,49,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00146-000,184720,0.020689964157706093,74,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00147-000,175302,0.01963508064516129,90,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00148-000,58817,0.006587925627240143,49,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00149-000,24434,0.0027367831541218637,45,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00150-000,162397,0.018189628136200717,76,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00151-000,186689,0.020910506272401434,76,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00152-000,43797,0.004905577956989247,49,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00154-000,101416,0.011359318996415771,83,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00155-000,23396,0.002620519713261649,47,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00156-000,140635,0.015752128136200718,75,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00157-000,40916,0.004582885304659498,45,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00158-000,149997,0.01680073924731183,70,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00159-000,103304,0.01157078853046595,86,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00160-000,125680,0.014077060931899641,70,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00162-000,31569,0.003535954301075269,44,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00165-000,74472,0.008341397849462365,64,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00166-000,98161,0.010994735663082436,63,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00167-000,61507,0.006889224910394265,50,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00170-000,23792,0.002664874551971326,40,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00171-000,62941,0.007049843189964157,48,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00172-000,137737,0.015427531362007169,70,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00176-000,129272,0.014479390681003585,80,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00177-000,150080,0.016810035842293906,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00178-000,127388,0.01426836917562724,67,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00183-000,154011,0.017250336021505375,80,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00184-000,78134,0.008751568100358422,59,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00185-000,62512,0.007001792114695341,72,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00186-000,117131,0.01311951164874552,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00187-000,171038,0.019157482078853046,85,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00188-000,53458,0.005987679211469534,66,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00191-000,135328,0.015157706093189964,79,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00192-000,35722,0.0040011200716845875,45,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00193-000,71098,0.007963485663082437,74,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00194-000,47503,0.005320676523297491,51,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00195-000,70393,0.007884520609318997,59,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00196-000,92279,0.010335909498207885,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00199-000,75415,0.008447020609318996,58,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00201-000,147786,0.01655309139784946,78,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00203-000,105469,0.011813284050179212,74,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00204-000,29850,0.003343413978494624,71,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00206-000,34711,0.00388788082437276,42,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00207-000,136827,0.015325604838709678,98,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00209-000,43342,0.0048546146953405015,47,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00210-000,31229,0.003497871863799283,45,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00211-000,132888,0.014884408602150538,85,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00212-000,74191,0.008309923835125448,73,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00214-000,70265,0.007870183691756273,71,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00216-000,163678,0.018333109318996416,74,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00217-000,160793,0.01800996863799283,78,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00218-000,11796,0.001321236559139785,34,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00219-000,9173,0.0010274417562724015,36,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00220-000,38000,0.004256272401433692,59,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00221-000,27719,0.0031047267025089607,47,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00222-000,17539,0.0019644937275985663,43,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00227-000,29239,0.003274977598566308,50,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00228-000,51320,0.005748207885304659,49,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00230-000,75949,0.008506832437275985,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00231-000,79221,0.008873319892473119,54,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00233-000,86812,0.009723566308243727,64,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00234-000,104074,0.011657034050179212,67,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00235-000,104995,0.011760192652329748,84,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00236-000,45076,0.0050488351254480285,66,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00237-000,52639,0.005895945340501792,53,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00238-000,58354,0.0065360663082437275,66,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00239-000,68663,0.007690748207885304,60,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00240-000,144026,0.016131944444444445,66,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00241-000,43568,0.004879928315412186,52,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00242-000,166996,0.018704749103942653,82,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00243-000,85827,0.009613239247311828,55,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00246-000,22112,0.0024767025089605737,34,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00247-000,139200,0.015591397849462365,85,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00249-000,131601,0.014740255376344087,65,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00250-000,104014,0.011650313620071684,71,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00251-000,10008,0.0011209677419354838,27,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00253-000,55909,0.006262208781362007,47,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00254-000,98690,0.011053987455197133,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00258-000,20404,0.002285394265232975,38,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00259-000,99594,0.01115524193548387,79,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00260-000,84670,0.009483646953405018,65,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00261-000,134165,0.015027441756272401,70,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00262-000,15581,0.0017451836917562725,30,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00263-000,87449,0.00979491487455197,78,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00266-000,175363,0.019641913082437276,69,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00267-000,102407,0.011470318100358423,80,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00269-000,96630,0.010823252688172044,71,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00270-000,48698,0.005454525089605735,53,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00271-000,151279,0.016944332437275986,66,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00273-000,116115,0.013005712365591398,64,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00274-000,45951,0.005146841397849463,58,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00275-000,69029,0.0077317428315412185,58,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00280-000,30654,0.003433467741935484,56,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00281-000,121148,0.013569444444444445,82,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00282-000,52485,0.0058786962365591396,59,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00283-000,73803,0.00826646505376344,67,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00284-000,19150,0.002144937275985663,65,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00285-000,6487,0.0007265905017921147,30,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00286-000,77815,0.008715837813620071,109,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00288-000,18374,0.002058019713261649,44,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00289-000,40355,0.004520049283154122,48,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00290-000,118394,0.013260976702508961,61,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00291-000,57452,0.006435035842293907,81,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00292-000,37429,0.004192316308243727,56,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00293-000,34459,0.003859655017921147,49,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00294-000,148942,0.016682571684587814,84,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00296-000,33412,0.0037423835125448028,46,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
